Duan-lang-dev/moonproto|0.1.0|MIT|A pure-runtime Protocol Buffers wire format encoder/decoder in MoonBit
dxh8888/moonleasekit|0.1.0|Apache-2.0|Deterministic leases, fencing tokens and leader election primitives for MoonBit.
Dz-6666/moonshardkit|0.2.0|Apache-2.0|Deterministic shard placement, replica isolation and migration planning for MoonBit.
DzmingLi/clap|0.2.8|MIT|Command Line Argument Parser
DzmingLi/decimal|0.2.2|Apache-2.0|[DEPRECATED] Moved to moonbit-community/decimal
DzmingLi/rapidhash|0.1.4|MIT|rapidhash V3 — a very fast, high-quality, non-cryptographic hash. Faithful MoonBit port of the reference C.
eanzhao/pi-moonbit|0.1.5|MIT|AI coding agent toolkit in MoonBit. Ships the `pimbt` CLI with 7 LLM providers (OpenAI / Anthropic / Gemini / Mistral / Bedrock / Vertex / Azure), a unified streaming abstraction, an agent loop with tool calls and compaction, a session-tree coding agent with built-in tools, three CLI modes (interactive / print / RPC), and one-command NyxID integration for credential-brokered LLM access.
eanzhao/vibe-map|0.7.2|MIT|DAG-based progress visualization for vibe coding — Lean 4 region map style
eczn/eczn-utils|0.2.0|Apache-2.0|
edragain2nd/biblatex|0.1.1|Apache-2.0|A moonbit cake for parsing and writing BibTeX and BibLaTeX files.
edragain2nd/compose|0.1.0|Apache-2.0|Composes two Unicode characters into a single precomposed character if possible.
edragain2nd/unscanny|0.1.2|Apache-2.0|Painless string scanning.
eisem/moon_graphql|0.1.0|Apache-2.0|A GraphQL parser and toolkit for MoonBit
elzup/peeler|0.1.2|MIT|Bracket parser for MoonBit - parse nested bracket structures into tree nodes
emadurandal/examine|0.1.0|Apache-2.0|
emadurandal/rhodonite|0.1.8|Apache-2.0|Public facade over RhodoniteMBT modules with high-level app/runtime helpers.
emadurandal/rhodonite_app_sdl3|0.1.8|Apache-2.0|SDL3 native app runtime helpers for RhodoniteMBT.
emadurandal/rhodonite_core|0.1.8|Apache-2.0|Core utilities: vector math, JS bridge helpers, and little-endian binary writes into buffers for RhodoniteMBT.
emadurandal/rhodonite_webgpu|0.1.8|Apache-2.0|WebGPU abstraction for browser and native targets (RhodoniteMBT).
emadurandal/sdl3|0.1.2|Apache-2.0|SDL3 MoonBit binding fork with native stub build flag fixes.
emptist/ibmoonc|0.1.0|Apache-2.0|MoonBit wrapper for Interactive Brokers TWS/Gateway API with C/Native FFI socket implementation
emptist/ibmoonjs|0.2.7|Apache-2.0|JavaScript/Node.js target of ibmoon - MoonBit wrapper for IB TWS/Gateway API with JavaScript FFI socket implementation
emptist/ibmoonwa|0.1.0|Apache-2.0|MoonBit wrapper for Interactive Brokers TWS/Gateway API with WebAssembly FFI socket implementation
enanandesu/icc|0.1.1|Apache-2.0|MoonBit module to parse International Color Consortium (ICC) profiles.
enanandesu/special-mathematical-functions|0.1.2|Apache-2.0|
enjoecn/easy|0.1.0|Apache-2.0|
enjoecn/gb|0.1.1|Apache-2.0|
Erolaffy/easy-io|0.1.0|Apache-2.0|
